region,anio,puntos,hfrio_19,hfrio_15,hfrio_14,hfrio_14_19,hac_20_25,hac_25,t_prom,t_min,t_max,humedad,lluvia,eto
Ancash,2014,2,3963.0,879.0,425.0,3538.0,3550.5,177.5,19.23,16.93,22.38,82.72,94.6,1325.16
Ancash,2015,2,3238.5,410.0,79.0,3159.5,4057.0,358.5,20.01,17.66,23.17,82.53,129.85,1358.4
Ancash,2016,2,2822.0,136.0,10.0,2812.0,4256.5,657.0,20.56,18.16,23.8,82.14,96.75,1406.35
Ancash,2017,2,3159.0,393.0,99.5,3059.5,3734.5,973.0,20.55,18.06,23.79,79.78,110.05,1408.45
Ancash,2018,2,3937.5,710.5,280.5,3657.0,3497.0,220.0,19.25,16.82,22.45,81.47,76.05,1340.04
Ancash,2019,2,3507.5,567.0,216.5,3291.0,3763.5,531.5,19.92,17.37,23.19,81.22,98.85,1380.84
Ancash,2020,2,3753.5,756.5,337.0,3416.5,3640.5,387.0,19.54,17.06,22.76,81.6,65.8,1370.66
Ancash,2021,2,4408.5,822.0,426.5,3982.0,2948.0,215.5,18.9,16.66,21.91,82.17,134.45,1309.0
Ancash,2022,2,5015.0,1003.5,403.0,4612.0,2443.5,105.0,18.42,16.3,21.4,83.45,122.75,1260.27
Ancash,2023,2,3698.5,1037.5,669.5,3029.0,3504.0,638.5,19.72,17.43,22.8,81.26,111.9,1353.32
Ancash,2024,2,2509.5,96.5,18.0,2491.5,4572.0,535.0,20.64,18.34,23.81,81.51,91.75,1404.59
Arequipa,2014,2,5474.5,1241.5,552.5,4922.0,2558.0,146.0,18.3,14.56,23.41,57.99,180.25,1623.23
Arequipa,2015,2,5142.0,711.0,282.0,4860.0,2635.0,279.0,18.8,15.12,23.62,58.66,521.15,1595.38
Arequipa,2016,2,4469.5,733.5,390.5,4079.0,2846.5,608.0,19.45,15.46,24.65,54.72,232.55,1724.07
Arequipa,2017,2,5309.0,841.5,350.5,4958.5,2555.0,222.0,18.61,15.0,23.41,59.7,620.2,1560.14
Arequipa,2018,2,5283.0,972.0,427.5,4855.5,2656.0,199.0,18.55,14.82,23.54,56.28,301.75,1626.06
Arequipa,2019,2,4981.5,787.0,328.0,4653.5,2712.5,327.5,18.98,15.09,23.97,55.53,448.55,1655.82
Arequipa,2020,2,5103.5,915.0,453.0,4650.5,2655.0,305.5,18.75,15.03,23.65,57.16,414.3,1627.38
Arequipa,2021,2,5618.0,1747.0,935.5,4682.5,2409.0,133.0,17.92,14.09,22.91,55.92,210.85,1620.26
Arequipa,2022,2,5622.5,1781.5,913.5,4709.0,2428.0,119.0,17.91,14.05,22.94,53.37,176.55,1641.91
Arequipa,2023,2,5504.0,1600.0,927.0,4577.0,2512.0,133.0,18.07,14.02,23.05,55.31,426.5,1628.07
Arequipa,2024,2,4543.5,878.0,455.5,4088.0,2915.0,457.5,19.21,15.11,24.3,55.38,262.25,1688.13
Ica,2014,2,2864.0,292.0,34.0,2830.0,3846.5,1146.0,20.76,17.76,25.3,69.52,107.1,1587.81
Ica,2015,2,2171.5,107.5,10.5,2161.0,4259.5,1366.0,21.36,18.34,25.84,69.83,154.7,1601.24
Ica,2016,2,1872.0,52.0,7.5,1864.5,4196.0,1846.0,22.04,18.88,26.66,67.93,58.1,1694.01
Ica,2017,2,2141.5,57.5,5.5,2136.0,4340.5,1425.0,21.55,18.66,25.88,70.95,276.05,1572.28
Ica,2018,2,2632.0,135.5,17.0,2615.0,4136.0,1094.0,20.87,17.98,25.38,70.46,133.9,1552.09
Ica,2019,2,2428.0,95.5,9.0,2419.0,4165.5,1291.0,21.21,18.32,25.63,70.63,203.75,1548.86
Ica,2020,2,2429.0,173.5,29.0,2400.0,4258.5,1210.5,21.14,18.31,25.52,70.69,177.1,1538.99
Ica,2021,2,2684.5,91.0,14.5,2670.0,3957.5,1109.5,20.86,18.0,25.24,68.47,121.7,1576.25
Ica,2022,2,2841.0,155.0,17.0,2824.0,3728.5,1095.5,20.73,17.8,25.13,67.32,87.4,1601.85
Ica,2023,2,2468.5,289.5,58.5,2410.0,4013.5,1424.5,21.25,18.29,25.66,67.17,168.65,1625.59
Ica,2024,2,1742.5,2.0,0.0,1742.5,4308.5,1838.5,22.2,19.18,26.7,67.58,83.2,1669.12
La Libertad,2014,2,3199.0,88.5,3.0,3196.0,4152.0,228.5,19.93,17.87,22.84,83.65,151.9,1324.64
La Libertad,2015,2,2407.0,0.5,0.0,2407.0,4872.0,404.5,20.67,18.62,23.6,83.28,161.4,1360.13
La Libertad,2016,2,2036.0,0.0,0.0,2036.0,4945.5,716.0,21.21,19.13,24.19,83.2,151.7,1398.78
La Libertad,2017,2,2514.5,5.0,0.0,2514.5,4449.5,887.5,21.07,18.87,24.03,81.89,237.2,1387.36
La Libertad,2018,2,3194.0,48.5,2.0,3192.0,4248.5,263.0,19.99,17.8,22.96,82.68,116.2,1335.38
La Libertad,2019,2,2801.5,30.0,0.0,2801.5,4444.0,605.5,20.61,18.29,23.63,82.24,159.3,1373.91
La Libertad,2020,2,2942.0,77.0,8.0,2934.0,4254.0,573.5,20.39,18.09,23.49,81.23,125.2,1400.56
La Libertad,2021,2,3484.5,127.0,7.5,3477.0,3828.5,228.5,19.73,17.61,22.68,81.08,157.9,1353.11
La Libertad,2022,2,3924.5,81.5,3.0,3921.5,3433.5,150.5,19.43,17.32,22.4,81.33,153.2,1336.17
La Libertad,2023,2,2915.5,236.0,14.0,2901.5,4086.0,803.5,20.55,18.34,23.54,80.47,242.1,1396.12
La Libertad,2024,2,1659.5,0.0,0.0,1659.5,5150.5,780.0,21.45,19.23,24.52,81.44,187.0,1433.25
Lambayeque,2014,1,2255.0,31.0,2.0,2253.0,3724.0,2020.0,21.9,18.23,27.4,74.57,449.8,1530.54
Lambayeque,2015,1,1778.0,1.0,0.0,1778.0,3888.0,2363.0,22.44,18.76,27.82,75.86,945.8,1532.88
Lambayeque,2016,1,1333.0,0.0,0.0,1333.0,3879.0,2755.0,23.06,19.43,28.38,75.95,918.5,1559.87
Lambayeque,2017,1,1698.0,14.0,7.0,1691.0,4006.0,2323.0,22.54,18.97,27.51,76.34,2291.8,1497.33
Lambayeque,2018,1,2251.0,11.0,0.0,2251.0,3786.0,1949.0,21.93,18.27,27.13,74.65,539.3,1516.48
Lambayeque,2019,1,1901.0,27.0,2.0,1899.0,3758.0,2384.0,22.44,18.76,27.64,75.11,874.0,1525.41
Lambayeque,2020,1,1974.0,47.0,8.0,1966.0,3548.0,2575.0,22.63,18.72,28.21,72.54,450.3,1607.52
Lambayeque,2021,1,2346.0,56.0,2.0,2344.0,3592.0,2040.0,21.86,18.05,27.23,73.54,801.0,1534.79
Lambayeque,2022,1,2632.0,19.0,0.0,2632.0,3568.0,1783.0,21.59,17.88,26.9,74.71,968.4,1492.41
Lambayeque,2023,1,2011.0,44.0,9.0,2002.0,3976.0,2289.0,22.37,18.75,27.57,74.41,1854.3,1519.37
Lambayeque,2024,1,800.0,0.0,0.0,800.0,3936.0,2967.0,23.47,19.92,28.62,75.12,823.2,1580.28
Lima,2014,2,4978.0,1028.0,290.5,4687.5,2679.0,51.5,18.46,16.4,21.31,84.31,68.75,1250.9
Lima,2015,2,4368.5,422.0,41.5,4327.0,3266.5,69.5,19.09,17.03,21.92,83.95,112.25,1287.41
Lima,2016,2,3823.0,180.5,5.5,3817.5,3553.0,338.0,19.68,17.5,22.6,83.25,58.5,1348.64
Lima,2017,2,3973.5,361.0,44.5,3929.0,3548.5,321.0,19.56,17.45,22.37,83.67,200.6,1285.34
Lima,2018,2,4718.0,804.5,130.5,4587.5,2855.0,46.5,18.57,16.52,21.37,84.49,148.95,1250.18
Lima,2019,2,4413.0,610.5,89.5,4323.5,3211.0,144.5,19.02,16.93,21.82,84.28,148.4,1268.82
Lima,2020,2,4385.5,859.0,224.0,4161.5,3133.0,318.5,19.03,16.9,22.0,83.51,135.1,1290.08
Lima,2021,2,4803.5,827.5,218.0,4585.5,2672.5,193.0,18.65,16.49,21.66,82.6,89.25,1285.63
Lima,2022,2,5282.0,1040.5,217.0,5065.0,2266.0,155.0,18.28,16.17,21.28,82.9,77.8,1282.07
Lima,2023,2,4184.5,1252.5,511.0,3673.5,3262.5,485.5,19.25,16.99,22.36,81.5,127.65,1345.16
Lima,2024,2,3575.0,88.0,9.5,3565.5,3691.5,553.0,20.06,17.8,23.29,81.41,92.05,1380.35
