region,punto,anio,lat,lon,elevacion_m,horas,hfrio_19,hfrio_15,hfrio_14,hfrio_14_19,hac_20_25,hac_25,t_prom,t_min,t_max,humedad,lluvia,eto
Ancash,Casma,2014,-9.472098,-78.300636,45,8760,3090.0,93.0,3.0,3087.0,4443.0,51.0,19.88,17.77,22.67,81.46,142.2,1347.39
Ancash,Casma,2015,-9.472098,-78.300636,45,8760,2340.0,1.0,0.0,2340.0,5122.0,217.0,20.64,18.49,23.43,81.48,200.9,1380.31
Ancash,Casma,2016,-9.472098,-78.300636,45,8784,1875.0,0.0,0.0,1875.0,5219.0,520.0,21.18,19.01,24.03,80.93,149.9,1424.39
Ancash,Casma,2017,-9.472098,-78.300636,45,8760,2511.0,0.0,0.0,2511.0,4493.0,815.0,21.03,18.82,23.84,79.36,150.5,1410.88
Ancash,Casma,2018,-9.472098,-78.300636,45,8760,3210.0,42.0,0.0,3210.0,4413.0,32.0,19.83,17.63,22.6,80.63,116.7,1354.65
Ancash,Casma,2019,-9.472098,-78.300636,45,8760,2792.0,13.0,0.0,2792.0,4617.0,376.0,20.49,18.19,23.32,80.51,144.9,1383.39
Ancash,Casma,2020,-9.472098,-78.300636,45,8784,3014.0,68.0,2.0,3012.0,4553.0,123.0,20.04,17.87,22.75,80.86,104.3,1369.51
Ancash,Casma,2021,-9.472098,-78.300636,45,8760,3680.0,66.0,0.0,3680.0,3588.0,21.0,19.4,17.51,21.79,81.56,211.4,1304.25
Ancash,Casma,2022,-9.472098,-78.300636,45,8760,4246.0,51.0,0.0,4246.0,3013.0,0.0,19.02,17.2,21.42,82.58,182.0,1268.4
Ancash,Casma,2023,-9.472098,-78.300636,45,8760,3047.0,136.0,4.0,3043.0,4161.0,387.0,20.19,18.22,22.72,80.34,140.1,1356.04
Ancash,Casma,2024,-9.472098,-78.300636,45,8784,1504.0,0.0,0.0,1504.0,5531.0,324.0,21.1,19.13,23.68,80.61,118.5,1395.36
Ancash,Nepena,2014,-9.111437,-78.469128,180,8760,4836.0,1665.0,847.0,3989.0,2658.0,304.0,18.58,16.09,22.08,83.97,47.0,1302.94
Ancash,Nepena,2015,-9.111437,-78.469128,180,8760,4137.0,819.0,158.0,3979.0,2992.0,500.0,19.37,16.84,22.91,83.58,58.8,1336.5
Ancash,Nepena,2016,-9.111437,-78.469128,180,8784,3769.0,272.0,20.0,3749.0,3294.0,794.0,19.94,17.32,23.57,83.35,43.6,1388.31
Ancash,Nepena,2017,-9.111437,-78.469128,180,8760,3807.0,786.0,199.0,3608.0,2976.0,1131.0,20.06,17.3,23.74,80.19,69.6,1406.02
Ancash,Nepena,2018,-9.111437,-78.469128,180,8760,4665.0,1379.0,561.0,4104.0,2581.0,408.0,18.67,16.01,22.3,82.3,35.4,1325.42
Ancash,Nepena,2019,-9.111437,-78.469128,180,8760,4223.0,1121.0,433.0,3790.0,2910.0,687.0,19.35,16.54,23.06,81.92,52.8,1378.28
Ancash,Nepena,2020,-9.111437,-78.469128,180,8784,4493.0,1445.0,672.0,3821.0,2728.0,651.0,19.03,16.25,22.77,82.34,27.3,1371.82
Ancash,Nepena,2021,-9.111437,-78.469128,180,8760,5137.0,1578.0,853.0,4284.0,2308.0,410.0,18.4,15.82,22.03,82.78,57.5,1313.75
Ancash,Nepena,2022,-9.111437,-78.469128,180,8760,5784.0,1956.0,806.0,4978.0,1874.0,210.0,17.82,15.39,21.37,84.32,63.5,1252.13
Ancash,Nepena,2023,-9.111437,-78.469128,180,8760,4350.0,1939.0,1335.0,3015.0,2847.0,890.0,19.25,16.64,22.87,82.18,83.7,1350.61
Ancash,Nepena,2024,-9.111437,-78.469128,180,8784,3515.0,193.0,36.0,3479.0,3613.0,746.0,20.18,17.54,23.94,82.41,65.0,1413.83
Arequipa,la_joya,2014,-16.485473,-71.830673,1560,8760,5129.0,774.0,354.0,4775.0,2720.0,249.0,18.82,14.9,23.9,55.4,313.6,1663.71
Arequipa,la_joya,2015,-16.485473,-71.830673,1560,8760,4703.0,478.0,205.0,4498.0,2732.0,476.0,19.3,15.41,24.16,55.66,807.7,1652.0
Arequipa,la_joya,2016,-16.485473,-71.830673,1560,8784,3907.0,587.0,316.0,3591.0,2982.0,844.0,19.96,15.81,25.13,52.26,406.2,1772.92
Arequipa,la_joya,2017,-16.485473,-71.830673,1560,8760,5001.0,579.0,234.0,4767.0,2591.0,351.0,19.01,15.31,23.71,57.78,1050.3,1569.1
Arequipa,la_joya,2018,-16.485473,-71.830673,1560,8760,4967.0,633.0,291.0,4676.0,2765.0,315.0,19.01,15.2,23.86,54.34,508.1,1638.84
Arequipa,la_joya,2019,-16.485473,-71.830673,1560,8760,4554.0,536.0,241.0,4313.0,2822.0,529.0,19.49,15.45,24.42,52.9,719.0,1694.07
Arequipa,la_joya,2020,-16.485473,-71.830673,1560,8784,4498.0,566.0,298.0,4200.0,2848.0,552.0,19.45,15.5,24.35,53.83,596.9,1685.38
Arequipa,la_joya,2021,-16.485473,-71.830673,1560,8760,5119.0,884.0,438.0,4681.0,2685.0,263.0,18.77,14.84,23.65,52.75,344.5,1662.53
Arequipa,la_joya,2022,-16.485473,-71.830673,1560,8760,5111.0,832.0,443.0,4668.0,2773.0,235.0,18.81,14.8,23.77,49.65,262.6,1695.58
Arequipa,la_joya,2023,-16.485473,-71.830673,1560,8760,5012.0,766.0,376.0,4636.0,2814.0,262.0,18.93,14.76,23.8,52.04,629.9,1659.43
Arequipa,la_joya,2024,-16.485473,-71.830673,1560,8784,3668.0,418.0,184.0,3484.0,3152.0,796.0,20.12,15.94,25.06,52.35,421.6,1732.29
Arequipa,majes,2014,-16.309596,-72.205582,1487,8760,5820.0,1709.0,751.0,5069.0,2396.0,43.0,17.77,14.22,22.93,60.58,46.9,1582.75
Arequipa,majes,2015,-16.309596,-72.205582,1487,8760,5581.0,944.0,359.0,5222.0,2538.0,82.0,18.3,14.83,23.09,61.66,234.6,1538.77
Arequipa,majes,2016,-16.309596,-72.205582,1487,8784,5032.0,880.0,465.0,4567.0,2711.0,372.0,18.95,15.1,24.17,57.18,58.9,1675.22
Arequipa,majes,2017,-16.309596,-72.205582,1487,8760,5617.0,1104.0,467.0,5150.0,2519.0,93.0,18.2,14.69,23.11,61.62,190.1,1551.18
Arequipa,majes,2018,-16.309596,-72.205582,1487,8760,5599.0,1311.0,564.0,5035.0,2547.0,83.0,18.09,14.44,23.22,58.22,95.4,1613.28
Arequipa,majes,2019,-16.309596,-72.205582,1487,8760,5409.0,1038.0,415.0,4994.0,2603.0,126.0,18.47,14.73,23.52,58.17,178.1,1617.58
Arequipa,majes,2020,-16.309596,-72.205582,1487,8784,5709.0,1264.0,608.0,5101.0,2462.0,59.0,18.06,14.55,22.94,60.49,231.7,1569.37
Arequipa,majes,2021,-16.309596,-72.205582,1487,8760,6117.0,2610.0,1433.0,4684.0,2133.0,3.0,17.07,13.35,22.18,59.09,77.2,1577.99
Arequipa,majes,2022,-16.309596,-72.205582,1487,8760,6134.0,2731.0,1384.0,4750.0,2083.0,3.0,17.02,13.31,22.11,57.09,90.5,1588.24
Arequipa,majes,2023,-16.309596,-72.205582,1487,8760,5996.0,2434.0,1478.0,4518.0,2210.0,4.0,17.21,13.29,22.3,58.58,223.1,1596.7
Arequipa,majes,2024,-16.309596,-72.205582,1487,8784,5419.0,1338.0,727.0,4692.0,2678.0,119.0,18.3,14.27,23.55,58.41,102.9,1643.97
Ica,Chincha,2014,-13.451364,-76.101494,96,8760,3686.0,571.0,65.0,3621.0,3823.0,410.0,19.63,17.01,23.51,76.01,157.0,1453.32
Ica,Chincha,2015,-13.451364,-76.101494,96,8760,3130.0,212.0,21.0,3109.0,4177.0,529.0,20.24,17.58,24.13,75.94,187.3,1478.65
Ica,Chincha,2016,-13.451364,-76.101494,96,8784,2754.0,95.0,14.0,2740.0,4138.0,987.0,20.86,18.09,24.83,74.59,86.1,1560.14
Ica,Chincha,2017,-13.451364,-76.101494,96,8760,2943.0,115.0,11.0,2932.0,4379.0,698.0,20.6,18.12,24.31,76.45,339.3,1449.33
Ica,Chincha,2018,-13.451364,-76.101494,96,8760,3476.0,268.0,34.0,3442.0,4104.0,344.0,19.75,17.28,23.56,76.57,187.1,1416.28
Ica,Chincha,2019,-13.451364,-76.101494,96,8760,3231.0,191.0,18.0,3213.0,4148.0,550.0,20.13,17.63,23.87,76.6,275.9,1423.05
Ica,Chincha,2020,-13.451364,-76.101494,96,8784,3297.0,343.0,58.0,3239.0,4269.0,297.0,19.88,17.49,23.51,77.09,216.9,1401.99
Ica,Chincha,2021,-13.451364,-76.101494,96,8760,3760.0,175.0,29.0,3731.0,3824.0,141.0,19.44,17.1,22.99,75.35,169.0,1423.62
Ica,Chincha,2022,-13.451364,-76.101494,96,8760,4034.0,300.0,34.0,4000.0,3525.0,104.0,19.22,16.81,22.81,74.31,118.7,1444.95
Ica,Chincha,2023,-13.451364,-76.101494,96,8760,3345.0,576.0,117.0,3228.0,4063.0,434.0,19.85,17.4,23.48,73.51,221.2,1475.76
Ica,Chincha,2024,-13.451364,-76.101494,96,8784,2773.0,4.0,0.0,2773.0,4337.0,720.0,20.77,18.25,24.43,73.98,117.9,1517.48
Ica,Villacuri-Salas,2014,-14.013414,-75.745046,425,8760,2042.0,13.0,3.0,2039.0,3870.0,1882.0,21.89,18.5,27.08,63.02,57.2,1722.3
Ica,Villacuri-Salas,2015,-14.013414,-75.745046,425,8760,1213.0,3.0,0.0,1213.0,4342.0,2203.0,22.49,19.1,27.56,63.71,122.1,1723.83
Ica,Villacuri-Salas,2016,-14.013414,-75.745046,425,8784,990.0,9.0,1.0,989.0,4254.0,2705.0,23.21,19.68,28.49,61.27,30.1,1827.87
Ica,Villacuri-Salas,2017,-14.013414,-75.745046,425,8760,1340.0,0.0,0.0,1340.0,4302.0,2152.0,22.5,19.2,27.45,65.45,212.8,1695.22
Ica,Villacuri-Salas,2018,-14.013414,-75.745046,425,8760,1788.0,3.0,0.0,1788.0,4168.0,1844.0,21.99,18.67,27.21,64.35,80.7,1687.9
Ica,Villacuri-Salas,2019,-14.013414,-75.745046,425,8760,1625.0,0.0,0.0,1625.0,4183.0,2032.0,22.3,19.02,27.4,64.66,131.6,1674.67
Ica,Villacuri-Salas,2020,-14.013414,-75.745046,425,8784,1561.0,4.0,0.0,1561.0,4248.0,2124.0,22.41,19.13,27.54,64.29,137.3,1675.99
Ica,Villacuri-Salas,2021,-14.013414,-75.745046,425,8760,1609.0,7.0,0.0,1609.0,4091.0,2078.0,22.27,18.89,27.49,61.58,74.4,1728.88
Ica,Villacuri-Salas,2022,-14.013414,-75.745046,425,8760,1648.0,10.0,0.0,1648.0,3932.0,2087.0,22.23,18.8,27.45,60.33,56.1,1758.75
Ica,Villacuri-Salas,2023,-14.013414,-75.745046,425,8760,1592.0,3.0,0.0,1592.0,3964.0,2415.0,22.65,19.18,27.83,60.83,116.1,1775.42
