zona,anio,cuadrantes,area_ha,hfrio_19,hfrio_15,hfrio_14,hfrio_14_19,hac_20_25,hac_25,t_prom,t_min,t_max,humedad,lluvia,eto
la_joya,2001,7,20631.1,5189.96,1025.34,520.29,4669.67,2620.88,274.47,18.65,14.9,23.82,58.62,244.74,1593.37
la_joya,2002,7,20631.1,4891.81,904.68,434.14,4457.67,2659.84,484.58,19.0,15.07,24.32,57.21,152.41,1652.16
la_joya,2003,7,20631.1,4653.22,795.63,418.28,4234.94,2773.41,572.99,19.31,15.2,24.7,55.57,81.86,1676.41
la_joya,2004,7,20631.1,4961.8,983.88,500.77,4461.03,2626.36,487.42,18.96,14.77,24.41,54.69,84.46,1674.08
la_joya,2005,7,20631.1,5039.92,1001.46,515.97,4523.95,2695.16,350.88,18.81,14.83,24.14,57.74,121.5,1632.02
la_joya,2006,7,20631.1,5148.63,1073.52,582.16,4566.47,2649.8,279.14,18.65,14.78,23.82,56.55,170.21,1581.76
la_joya,2007,7,20631.1,4750.68,747.65,323.5,4427.18,2790.4,481.93,19.23,15.19,24.58,55.04,68.55,1673.12
la_joya,2008,7,20631.1,5455.43,1247.92,659.38,4796.06,2398.78,255.24,18.33,14.52,23.38,56.42,234.12,1561.91
la_joya,2009,7,20631.1,5354.75,1061.49,543.51,4811.24,2539.26,221.2,18.46,14.63,23.54,58.84,233.59,1563.21
la_joya,2010,7,20631.1,4636.69,814.24,435.42,4201.28,2687.73,632.76,19.32,15.29,24.65,55.82,81.55,1664.79
la_joya,2011,7,20631.1,5484.6,1100.12,563.48,4921.11,2461.08,177.99,18.32,14.78,23.3,57.54,198.46,1549.72
la_joya,2012,7,20631.1,5128.81,1021.7,503.65,4625.16,2598.0,322.14,18.72,15.02,23.75,59.32,228.56,1580.63
la_joya,2013,7,20631.1,4868.68,747.14,365.17,4503.51,2756.94,419.7,19.11,15.33,24.27,56.61,168.15,1639.08
la_joya,2014,7,20631.1,5179.88,954.08,462.73,4717.15,2646.26,311.53,18.75,14.93,24.02,57.4,99.54,1629.67
la_joya,2015,7,20631.1,4675.86,526.95,215.38,4460.48,2732.92,514.62,19.31,15.48,24.28,57.66,312.68,1609.52
la_joya,2016,7,20631.1,3977.33,609.37,336.7,3640.63,2889.01,937.56,19.95,15.88,25.27,54.4,151.27,1732.3
la_joya,2017,7,20631.1,4838.03,640.59,294.64,4543.39,2674.98,427.93,19.13,15.46,24.02,59.12,366.96,1563.15
la_joya,2018,7,20631.1,4865.9,667.08,308.36,4557.53,2750.74,424.93,19.11,15.31,24.2,55.27,160.9,1630.94
la_joya,2019,7,20631.1,4501.8,542.86,232.12,4269.68,2770.48,625.19,19.54,15.57,24.62,54.74,282.3,1663.91
la_joya,2020,7,20631.1,4461.17,588.33,284.89,4176.27,2785.1,640.74,19.51,15.68,24.56,55.48,260.03,1653.02
la_joya,2021,7,20631.1,5031.86,894.61,423.91,4607.95,2678.11,372.35,18.9,15.03,24.01,53.69,110.59,1655.3
la_joya,2022,7,20631.1,5010.53,851.17,428.01,4582.53,2719.57,362.17,18.91,15.0,24.05,51.26,99.36,1676.8
